"country","geo","siec","type","unit","source","scenario","year","cap","cap_min","cap_max","target","target_exp","demand","problem","problem_desc","region","_file"
"Austria","AT","RA300","Wind","GW","GOV","obs",2023,3.885,NA,NA,0,0,0,"0",NA,"Central",6
"Austria","AT","RA300","Wind","GW","IEA-WIND","potential",2030,7.5,NA,NA,0,0,0,"0",NA,"Central",6
"Austria","AT","RA300","Wind","TWh","NECP","WAM",2020,7,NA,NA,1,0,0,"0",NA,"Central",6
"Austria","AT","RA300","Wind","TWh","NECP","WAM",2021,7,NA,NA,1,0,0,"0",NA,"Central",6
"Austria","AT","RA300","Wind","TWh","NECP","WAM",2022,7,NA,NA,1,0,0,"0",NA,"Central",6
"Austria","AT","RA300","Wind","TWh","NECP","WAM",2023,9,NA,NA,1,0,0,"0",NA,"Central",6
"Austria","AT","RA300","Wind","TWh","NECP","WAM",2024,11,NA,NA,1,0,0,"0",NA,"Central",6
"Austria","AT","RA300","Wind","TWh","NECP","WAM",2025,12,NA,NA,1,0,0,"0",NA,"Central",6
"Austria","AT","RA300","Wind","TWh","NECP","WAM",2026,13,NA,NA,1,0,0,"0",NA,"Central",6
"Austria","AT","RA300","Wind","TWh","NECP","WAM",2027,14,NA,NA,1,0,0,"0",NA,"Central",6
"Austria","AT","RA300","Wind","TWh","NECP","WAM",2028,16,NA,NA,1,0,0,"0",NA,"Central",6
"Austria","AT","RA300","Wind","TWh","NECP","WAM",2029,17,NA,NA,1,0,0,"0",NA,"Central",6
"Austria","AT","RA300","Wind","TWh","NECP","WAM",2030,19,NA,NA,1,0,0,"0",NA,"Central",6
"Austria","AT","RA300","Wind","TWh","NECP","WAM",2040,24,NA,NA,1,0,0,"0",NA,"Central",6
"Austria","AT","RA300","Wind","TWh","NECP","WAM",2050,27,NA,NA,1,0,0,"0",NA,"Central",6
"Austria","AT","RA310","Wind on shore","GW","GOV","obs",2023,3.885,NA,NA,0,0,0,"0",NA,"Central",6
"Austria","AT","RA310","Wind on shore","GW","IEA","potential",2030,7.5,NA,NA,0,0,0,"0",NA,"Central",6
"Austria","AT","RA310","Wind on shore","TWh","NECP","WAM",2020,7,NA,NA,1,0,0,"0",NA,"Central",6
"Austria","AT","RA310","Wind on shore","TWh","NECP","WAM",2021,7,NA,NA,1,0,0,"0",NA,"Central",6
"Austria","AT","RA310","Wind on shore","TWh","NECP","WAM",2022,7,NA,NA,1,0,0,"0",NA,"Central",6
"Austria","AT","RA310","Wind on shore","TWh","NECP","WAM",2023,9,NA,NA,1,0,0,"0",NA,"Central",6
