country,geo,siec,type,unit,source,scenario,year,cap
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,1990,0.2
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,1991,0.2
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,1992,0.2
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,1993,0.1
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,1994,0.2
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,1995,0.3
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,1996,2
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,1997,2.1
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,1998,2.8
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,1999,2.8
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2000,2.8
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2001,4.5
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2002,5.3
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2003,5.4
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2004,8.7
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2005,11.6
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2006,11.6
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2007,11.6
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2008,13.6
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2009,17.6
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2010,42.3
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2011,45.5
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2012,49.4
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2013,60.3
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2014,60.3
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2015,60.3
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2016,75.4
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2017,75.4
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2018,75.4
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2019,75.4
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2020,87.1
Switzerland,CH,RA300,Wind,MW,BFE,GES2023,2021,88.3
